iter	Passed	Remaining
939	168589	190111
940	168771	189935
941	168938	189742
942	169121	189567
943	169274	189358
944	169452	189177
945	169629	188995
946	169814	188822
947	170011	188662
948	170194	188487
949	170364	188297
950	170552	188127
951	170736	187953
952	170920	187778
953	171098	187598
954	171276	187417
955	171447	187229
956	171635	187059
957	171803	186867
958	171978	186683
959	172152	186498
960	172359	186349
961	172527	186157
962	172721	185993
963	172903	185817
964	173092	185648
965	173272	185469
966	173459	185298
967	173640	185120
968	173803	184924
969	173991	184753
970	174178	184582
971	174359	184404
972	174530	184216
973	174750	184080
974	174984	183958
975	175177	183793
976	175425	183684
977	175635	183536
978	175810	183352
979	175994	183178
980	176174	182998
981	176364	182829
982	176542	182648
983	176736	182483
984	176924	182312
985	177131	182161
986	177320	181991
987	177492	181803
988	177680	181632
989	177873	181467
990	178046	181280
991	178224	181098
992	178401	180916
993	178598	180754
994	178794	180591
995	178984	180422
996	179169	180248
997	179363	180082
998	179548	179907
999	179719	179719
1000	179903	179544
1001	180071	179352
1002	180239	179161
1003	180416	178979
1004	180602	178805
1005	180774	178618
1006	180962	178446
1007	181137	178262
1008	181318	178083
1009	181489	177895
1010	181705	177751
1011	181883	177570
1012	182060	177387
1013	182230	177198
1014	182403	177011
1015	182596	176845
1016	182776	176665
1017	182948	176478
1018	183124	176295
1019	183315	176126
1020	183495	175947
1021	183657	175750
1022	183829	175563
1023	184004	175379
1024	184186	175201
1025	184363	175019
1026	184531	174828
1027	184701	174640
1028	184868	174448
1029	185035	174256
1030	185227	174088
1031	185394	173897
1032	185613	173754
1033	185854	173631
1034	186049	173466
1035	186245	173302
1036	186440	173136
1037	186628	172963
1038	186819	172794
1039	187004	172619
1040	187194	172448
1041	187382	172277
1042	187564	172098
1043	187753	171927
1044	187927	171742
1045	188113	171568
1046	188291	171386
1047	188463	171199
1048	188647	171023
1049	188826	170842
1050	189011	170667
1051	189191	170488
1052	189361	170299
1053	189543	170121
1054	189727	169945
1055	189887	169748
1056	190067	169567
1057	190246	169387
1058	190427	169208
1059	190591	169015
1060	190778	168841
1061	190961	168664
1062	191142	168486
1063	191327	168310
1064	191507	168131
1065	191675	167940
1066	191857	167763
1067	192042	167587
1068	192212	167399
1069	192390	167217
1070	192600	167063
1071	192792	166894
1072	192968	166712
1073	193155	166538
1074	193324	166348
1075	193504	166169
1076	193687	165991
1077	193869	165813
1078	194055	165639
1079	194240	165463
1080	194419	165283
1081	194611	165114
1082	194802	164943
1083	194989	164769
1084	195178	164597
1085	195365	164423
1086	195548	164246
1087	195735	164072
1088	195928	163903
1089	196105	163721
1090	196294	163548
1091	196474	163369
1092	196653	163188
1093	196832	163007
1094	197015	162830
1095	197222	162672
1096	197425	162511
1097	197611	162336
1098	197802	162165
1099	197994	161995
1100	198183	161823
1101	198379	161655
1102	198555	161472
1103	198736	161293
1104	198919	161115
1105	199108	160942
1106	199303	160775
1107	199488	160599
1108	199683	160431
1109	199884	160267
1110	200066	160089
1111	200245	159908
1112	200428	159730
1113	200599	159543
1114	200792	159373
1115	200971	159192
1116	201142	159005
1117	201327	158828
1118	201496	158640
1119	201667	158452
1120	201829	158258
1121	201999	158070
1122	202213	157917
1123	202381	157727
1124	202562	157548
1125	202730	157359
1126	202915	157182
1127	203094	157001
1128	203271	156819
1129	203457	156643
1130	203626	156455
1131	203815	156282
1132	203992	156100
1133	204167	155915
1134	204335	155726
1135	204513	155545
1136	204696	155367
1137	204876	155187
1138	205063	155012
1139	205244	154833
1140	205425	154654
1141	205595	154466
1142	205768	154281
1143	205954	154105
1144	206137	153928
1145	206325	153753
1146	206503	153572
1147	206684	153393
1148	206869	153216
1149	207055	153041
1150	207236	152861
1151	207410	152677
1152	207570	152482
1153	207781	152324
1154	207952	152138
